epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8142,1.6071,2.74772,1.70322,0.54099,0.65522,0.63074,0.30658,1.48469,2.13592,1.7369,0.00332681,0.00332681,0.00332681
2,83.0437,1.57292,2.10346,1.64512,0.44626,0.55077,0.47384,0.21028,1.756,2.16144,1.92915,0.00659421,0.00659421,0.00659421
3,124.334,1.6806,2.05742,1.75813,0.32833,0.34079,0.26447,0.10782,2.12549,2.45793,2.50865,0.00979561,0.00979561,0.00979561
4,165.674,1.76699,2.10045,1.83923,0.46412,0.4148,0.3923,0.16192,1.92257,2.09881,2.19107,0.009703,0.009703,0.009703
5,207.735,1.706,1.98112,1.80006,0.50083,0.48709,0.48037,0.21747,1.82949,1.88872,2.04815,0.009604,0.009604,0.009604
6,249.519,1.6498,1.89025,1.74813,0.56953,0.5284,0.51539,0.24581,1.63191,1.84524,1.95552,0.009505,0.009505,0.009505
7,290.98,1.62582,1.79349,1.71997,0.65385,0.60757,0.65384,0.30967,1.64843,1.63831,1.87893,0.009406,0.009406,0.009406
8,332.794,1.57271,1.71512,1.67904,0.70557,0.66609,0.73129,0.37222,1.55295,1.42893,1.80518,0.009307,0.009307,0.009307
9,374.607,1.55095,1.63631,1.65279,0.69384,0.64362,0.7037,0.37644,1.53749,1.40033,1.80685,0.009208,0.009208,0.009208
10,416.091,1.52188,1.61045,1.64048,0.64834,0.6747,0.68546,0.36324,1.56558,1.45826,1.81855,0.009109,0.009109,0.009109
11,457.412,1.49162,1.55774,1.60846,0.72837,0.71084,0.76292,0.41258,1.47831,1.32515,1.72977,0.00901,0.00901,0.00901
12,498.831,1.48537,1.52107,1.60107,0.75156,0.7315,0.76189,0.4167,1.4641,1.22359,1.69469,0.008911,0.008911,0.008911
13,540.287,1.4726,1.4973,1.59118,0.74159,0.7162,0.7779,0.42913,1.49186,1.23117,1.73819,0.008812,0.008812,0.008812
14,581.733,1.45582,1.45673,1.57387,0.76495,0.7315,0.79205,0.446,1.47469,1.16968,1.68012,0.008713,0.008713,0.008713
15,623.244,1.4363,1.43461,1.56512,0.73513,0.76076,0.79451,0.44983,1.43926,1.19682,1.68565,0.008614,0.008614,0.008614
16,664.777,1.42041,1.41629,1.54567,0.78447,0.74355,0.80532,0.45709,1.42708,1.15167,1.66126,0.008515,0.008515,0.008515
17,706.483,1.40773,1.38791,1.53613,0.78763,0.75559,0.8087,0.47195,1.38625,1.11058,1.6274,0.008416,0.008416,0.008416
18,748.48,1.39958,1.38283,1.53212,0.80116,0.71773,0.7831,0.4598,1.39332,1.14957,1.62702,0.008317,0.008317,0.008317
19,790.352,1.38173,1.35518,1.51979,0.79273,0.7642,0.83289,0.49254,1.37221,1.08305,1.62815,0.008218,0.008218,0.008218
20,832.359,1.37905,1.31943,1.51098,0.77871,0.74496,0.80611,0.48014,1.37156,1.10317,1.62244,0.008119,0.008119,0.008119
21,874.224,1.3691,1.30423,1.49637,0.79626,0.76248,0.82726,0.48528,1.392,1.08938,1.6266,0.00802,0.00802,0.00802
22,915.781,1.3585,1.30253,1.49671,0.83014,0.77625,0.85435,0.49804,1.38082,1.04605,1.62669,0.007921,0.007921,0.007921
23,957.635,1.34535,1.28169,1.48621,0.81123,0.77453,0.83921,0.49905,1.39175,1.03088,1.63466,0.007822,0.007822,0.007822
24,999.62,1.34118,1.27096,1.47831,0.77732,0.76936,0.81537,0.48893,1.3564,1.07042,1.60295,0.007723,0.007723,0.007723
