epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1455,2.93945,13.823,1.53996,0.56312,0.07322,0.06514,0.02064,2.14296,28.7863,1.10005,0.000474226,0.000474226,0.000474226
2,39.7071,2.87586,7.13913,1.49264,0.48333,0.19115,0.0867,0.02632,2.03695,6.73347,1.15221,0.000941148,0.000941148,0.000941148
3,59.4014,2.83756,4.04633,1.49502,0.50968,0.12271,0.10407,0.03575,2.04384,7.27464,1.18628,0.00139864,0.00139864,0.00139864
4,79.1595,2.8275,3.29187,1.48057,0.52016,0.17377,0.12453,0.03592,2.26079,3.66445,1.23216,0.00138656,0.00138656,0.00138656
5,99.1142,2.71526,2.89121,1.4573,0.4252,0.14981,0.06048,0.0183,2.13918,239.794,1.18508,0.00137241,0.00137241,0.00137241
6,119.236,2.62841,2.68833,1.40353,0.57186,0.17609,0.1688,0.05957,2.03499,2.78053,1.11767,0.00135826,0.00135826,0.00135826
7,139.443,2.64216,2.56299,1.41232,0.55689,0.22137,0.15651,0.05595,1.98895,4.01743,1.11618,0.00134412,0.00134412,0.00134412
8,159.519,2.5427,2.47495,1.38065,0.65056,0.19673,0.22087,0.08323,1.96165,2.08076,1.09343,0.00132997,0.00132997,0.00132997
9,179.76,2.52879,2.35602,1.37267,0.64123,0.2435,0.25059,0.08899,1.94245,2.29526,1.11061,0.00131582,0.00131582,0.00131582
10,199.957,2.49953,2.34882,1.35684,0.54053,0.21723,0.18595,0.06456,1.84555,6.1237,1.08033,0.00130168,0.00130168,0.00130168
11,220.163,2.51463,2.35928,1.36903,0.52358,0.37194,0.31239,0.11356,1.92949,2.32896,1.08154,0.00128753,0.00128753,0.00128753
12,240.198,2.46283,2.19202,1.3569,0.67394,0.24009,0.30596,0.10645,1.93911,1.77985,1.08243,0.00127338,0.00127338,0.00127338
13,260.228,2.37664,2.14334,1.3451,0.72308,0.24465,0.32034,0.1274,1.84193,2.00682,1.09493,0.00125923,0.00125923,0.00125923
14,280.293,2.44149,2.14128,1.34716,0.50921,0.32276,0.3283,0.12796,1.84948,1.73925,1.07287,0.00124509,0.00124509,0.00124509
15,300.373,2.3948,2.10051,1.30557,0.51409,0.38878,0.39063,0.1548,1.78776,1.74164,1.07905,0.00123094,0.00123094,0.00123094
16,320.43,2.3707,2.04727,1.32913,0.49679,0.32069,0.34814,0.13637,1.85102,2.12005,1.06307,0.00121679,0.00121679,0.00121679
17,340.385,2.35274,2.046,1.31493,0.55633,0.37887,0.40918,0.15484,1.778,1.85523,1.06808,0.00120265,0.00120265,0.00120265
18,360.231,2.31245,2.05388,1.31851,0.52392,0.39233,0.39766,0.14546,1.8073,1.8582,1.07546,0.0011885,0.0011885,0.0011885
19,380.109,2.30596,2.00534,1.28383,0.50572,0.30689,0.34076,0.13911,1.74549,1.73523,1.04701,0.00117435,0.00117435,0.00117435
20,400.053,2.29072,1.91349,1.30074,0.63571,0.31012,0.3746,0.14545,1.84537,1.87844,1.05234,0.00116021,0.00116021,0.00116021
21,420.2,2.29319,1.88912,1.29757,0.61959,0.38581,0.41657,0.17068,1.7724,1.85379,1.03228,0.00114606,0.00114606,0.00114606
22,440.009,2.27003,1.86785,1.29828,0.44026,0.42975,0.39676,0.155,1.79788,1.61419,1.02739,0.00113191,0.00113191,0.00113191
23,459.879,2.23004,1.82295,1.27371,0.52543,0.45873,0.43938,0.17272,1.68862,1.69642,1.01366,0.00111776,0.00111776,0.00111776
24,479.888,2.22344,1.80033,1.26647,0.50004,0.36469,0.39833,0.15651,1.78952,1.73335,1.03277,0.00110362,0.00110362,0.00110362
25,499.629,2.30472,1.89389,1.29298,0.53159,0.42409,0.45589,0.17984,1.74763,1.80989,1.04148,0.00108947,0.00108947,0.00108947
26,519.606,2.17152,1.75413,1.24419,0.49949,0.39923,0.41396,0.16805,1.83209,1.595,1.02704,0.00107532,0.00107532,0.00107532
27,539.603,2.20248,1.8165,1.26008,0.50145,0.46093,0.46346,0.19245,1.68125,1.64033,1.00404,0.00106118,0.00106118,0.00106118
28,559.476,2.19424,1.75299,1.26379,0.54771,0.45912,0.45515,0.20068,1.66814,1.50316,1.0021,0.00104703,0.00104703,0.00104703
29,579.317,2.18495,1.69161,1.24232,0.4495,0.44533,0.44368,0.1869,1.6209,1.41976,0.99063,0.00103288,0.00103288,0.00103288
30,599.138,2.13508,1.68114,1.21584,0.62492,0.39177,0.45862,0.19036,1.7219,1.8094,0.99533,0.00101873,0.00101873,0.00101873
31,618.974,2.15753,1.65989,1.21658,0.64901,0.37895,0.45679,0.18945,1.72987,1.61677,1.0026,0.00100459,0.00100459,0.00100459
32,638.758,2.12946,1.61625,1.21676,0.64144,0.39664,0.49703,0.20842,1.72255,1.36148,0.99242,0.00099044,0.00099044,0.00099044
33,658.717,2.11468,1.64134,1.21198,0.55879,0.44275,0.49032,0.20695,1.66571,1.58381,0.99889,0.000976293,0.000976293,0.000976293
34,678.635,2.12895,1.65357,1.22488,0.48654,0.5191,0.48633,0.22272,1.63091,1.44543,0.99877,0.000962146,0.000962146,0.000962146
35,698.435,2.07677,1.56591,1.17567,0.70666,0.42866,0.52448,0.22711,1.63492,1.59979,0.98398,0.000947999,0.000947999,0.000947999
36,718.355,2.09622,1.60399,1.22735,0.548,0.46637,0.5078,0.2209,1.6903,1.3113,0.98279,0.000933851,0.000933851,0.000933851
37,738.025,2.10838,1.60679,1.19325,0.71719,0.47537,0.56089,0.2286,1.753,1.70936,1.00653,0.000919704,0.000919704,0.000919704
38,757.949,2.04525,1.59191,1.20671,0.66497,0.49954,0.56755,0.24763,1.62501,1.26337,0.97612,0.000905557,0.000905557,0.000905557
39,777.839,2.04671,1.54092,1.19338,0.67077,0.46892,0.55723,0.25172,1.60109,1.2461,0.9675,0.00089141,0.00089141,0.00089141
40,797.949,2.04453,1.52948,1.17934,0.60742,0.48839,0.55974,0.23407,1.7975,1.25809,1.0018,0.000877263,0.000877263,0.000877263
41,817.895,2.05482,1.50822,1.19683,0.62168,0.49986,0.55173,0.23411,1.70744,1.33135,0.98116,0.000863116,0.000863116,0.000863116
42,837.868,2.06404,1.4747,1.19628,0.61139,0.52014,0.57702,0.24523,1.61395,1.35675,0.97156,0.000848969,0.000848969,0.000848969
43,857.921,2.04049,1.49283,1.18954,0.73459,0.45584,0.54163,0.24516,1.6512,1.41684,0.96706,0.000834822,0.000834822,0.000834822
44,877.792,2.00292,1.44564,1.17424,0.80641,0.46225,0.56058,0.24239,1.63302,1.32902,0.9753,0.000820675,0.000820675,0.000820675
45,897.732,2.04091,1.48204,1.19139,0.68845,0.47124,0.56464,0.24028,1.65852,1.32416,0.96925,0.000806528,0.000806528,0.000806528
46,917.575,2.02462,1.45946,1.18372,0.64322,0.52133,0.58792,0.25812,1.62117,1.27646,0.98813,0.00079238,0.00079238,0.00079238
47,937.634,2.00387,1.4355,1.18038,0.7057,0.49865,0.60415,0.27598,1.60212,1.33501,0.97296,0.000778233,0.000778233,0.000778233
48,957.551,1.9983,1.44691,1.16534,0.71358,0.51816,0.59629,0.26448,1.66537,1.3483,0.97058,0.000764086,0.000764086,0.000764086
49,978.051,1.98228,1.41905,1.16349,0.73759,0.51675,0.61273,0.2783,1.55807,1.17737,0.96265,0.000749939,0.000749939,0.000749939
50,998.173,1.99609,1.4379,1.16882,0.66081,0.56308,0.60615,0.273,1.59046,1.23796,0.95897,0.000735792,0.000735792,0.000735792
51,1017.95,1.98238,1.35224,1.16864,0.70676,0.51578,0.60011,0.27671,1.59233,1.16718,0.95943,0.000721645,0.000721645,0.000721645
52,1037.89,1.92505,1.31057,1.15954,0.70619,0.5787,0.64515,0.28087,1.51714,1.21496,0.94278,0.000707498,0.000707498,0.000707498
